datetime,sigai_output,signal
2023-12-26 04:00:00,0.04934742,SSS
2023-12-26 05:00:00,0.04831871,SSS
2023-12-28 02:00:00,0.03831584,MSS
2023-12-28 08:00:00,0.05139889,SSS
2023-12-28 09:00:00,0.05236597,SSS
2023-12-28 10:00:00,0.05364804,SSS
2023-12-28 11:00:00,0.05491355,SSS
2023-12-28 12:00:00,0.05694951,SSS
2023-12-28 13:00:00,0.05682948,SSS
2023-12-28 14:00:00,0.05716067,SSS
2023-12-28 15:00:00,0.05695612,SSS
2023-12-30 07:00:00,0.03915047,MSS
2023-12-30 08:00:00,0.04717682,MSS
2023-12-30 09:00:00,0.04623262,MSS
2023-12-30 10:00:00,0.04683035,MSS
2023-12-30 11:00:00,0.04690369,MSS
2023-12-30 12:00:00,0.04575666,MSS
2024-01-01 00:00:00,0.04227623,MSS
2024-01-01 01:00:00,0.04257765,MSS
2024-01-01 02:00:00,0.04326461,MSS
2024-01-01 03:00:00,0.04392732,MSS
2024-01-01 04:00:00,0.04518888,MSS
2024-01-01 05:00:00,0.04505296,MSS
2024-01-02 00:00:00,0.06286322,SSS
2024-01-02 01:00:00,0.06425529,SSS
2024-01-02 02:00:00,0.06258983,SSS
2024-01-07 00:00:00,0.00475225,MSS
2024-01-07 01:00:00,0.00505059,MSS
2024-01-07 04:00:00,0.00710674,WSS
2024-01-07 05:00:00,0.00725913,WSS
2024-01-07 06:00:00,0.00719424,WSS
2024-01-07 07:00:00,0.00724314,WSS
2024-01-08 20:00:00,0.0095966,WSS
2024-01-08 21:00:00,0.0101019,WSS
2024-01-08 22:00:00,0.0100763,WSS
2024-01-08 23:00:00,0.00984474,WSS
2024-01-09 00:00:00,0.01797726,WSS
2024-01-09 01:00:00,0.01830855,WSS
2024-01-09 02:00:00,0.0183674,WSS
2024-01-09 03:00:00,0.01779683,WSS
2024-01-09 04:00:00,0.01698134,WSS
2024-01-11 16:00:00,0.03381561,MSS
2024-01-11 17:00:00,0.03988046,MSS
2024-01-11 18:00:00,0.03433719,MSS
2024-01-11 19:00:00,0.03013884,WSS
2024-01-12 16:00:00,0.05246777,SSS
2024-01-12 17:00:00,0.04396861,MSS
2024-01-12 18:00:00,0.04649305,MSS
2024-01-12 19:00:00,0.04540944,MSS
2024-01-12 20:00:00,0.04378673,MSS
2024-01-14 01:00:00,0.00880183,WSS
2024-01-14 02:00:00,0.00886305,WSS
2024-01-14 08:00:00,0.01333483,WSS
2024-01-14 09:00:00,0.01289397,WSS
2024-01-14 10:00:00,0.01245412,WSS
2024-01-15 00:00:00,0.01342761,WSS
2024-01-15 01:00:00,0.0138935,WSS
2024-01-15 16:00:00,0.01618817,WSS
2024-01-15 17:00:00,0.0166495,WSS
2024-01-17 20:00:00,0.00635248,MSS
2024-01-17 21:00:00,0.00655544,MSS
2024-01-17 22:00:00,0.00655689,MSS
2024-01-17 23:00:00,0.00651554,MSS
2024-01-18 00:00:00,0.00957767,WSS
2024-01-18 01:00:00,0.00946197,WSS
2024-01-18 02:00:00,0.00939636,WSS
2024-01-18 03:00:00,0.00935951,WSS
2024-01-18 04:00:00,0.01051777,WSS
2024-01-18 05:00:00,0.01058416,WSS
2024-01-18 06:00:00,0.01085933,WSS
2024-01-18 07:00:00,0.01128954,WSS
2024-01-18 08:00:00,0.01160601,WSS
2024-01-18 09:00:00,0.01170241,WSS
2024-01-18 10:00:00,0.0123748,WSS
2024-01-18 11:00:00,0.01264391,WSS
2024-01-18 17:00:00,0.01710719,WSS
2024-01-18 18:00:00,0.02083546,WSS
2024-01-18 19:00:00,0.02296562,WSS
2024-01-18 20:00:00,0.02442583,WSS
2024-01-18 21:00:00,0.0252953,WSS
2024-01-18 22:00:00,0.0248897,WSS
2024-01-18 23:00:00,0.02395308,WSS
2024-01-20 00:00:00,0.01368338,WSS
2024-01-21 15:00:00,0.00661173,MSS
2024-01-21 16:00:00,0.00727521,WSS
2024-01-21 17:00:00,0.00748255,WSS
2024-01-21 18:00:00,0.00765427,WSS
2024-01-21 19:00:00,0.00781156,WSS
2024-01-21 20:00:00,0.00799398,WSS
2024-01-21 21:00:00,0.00817413,WSS
2024-01-22 00:00:00,0.00985822,WSS
2024-01-22 01:00:00,0.00982132,WSS
2024-01-22 17:00:00,0.01068517,WSS
2024-01-22 18:00:00,0.01100618,WSS
2024-01-23 16:00:00,0.01097138,WSS
2024-01-23 17:00:00,0.0111655,WSS
2024-01-23 18:00:00,0.01115717,WSS
2024-01-23 19:00:00,0.01096328,WSS
2024-01-25 12:00:00,0.01041167,WSS
2024-01-25 13:00:00,0.01032948,WSS
2024-01-25 14:00:00,0.01021641,WSS
2024-01-26 00:00:00,0.01228112,WSS
2024-01-26 01:00:00,0.01178014,WSS
2024-01-26 16:00:00,0.01358188,WSS
2024-01-26 17:00:00,0.01344986,WSS
2024-01-26 18:00:00,0.0141693,WSS
2024-01-26 19:00:00,0.01342853,WSS
2024-01-28 16:00:00,0.01057809,WSS
2024-01-28 17:00:00,0.01045752,WSS
2024-01-28 18:00:00,0.01039166,WSS
2024-01-28 19:00:00,0.01036132,WSS
2024-01-28 20:00:00,0.01093787,WSS
2024-01-28 21:00:00,0.01088472,WSS
2024-01-30 08:00:00,0.01199367,WSS
2024-01-30 09:00:00,0.0118322,WSS
2024-01-30 10:00:00,0.01176629,WSS
2024-01-30 11:00:00,0.01196099,WSS
